permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,mark_to_mkt,openprice,pure_mark_to_mkt,purebalance,real_pnl
61,Paper,Paper,4.441,USD,IDEALPRO,61.0,,,1.0,2.2205,100000.0,-100000.0,-4.441,SLD,5m_,USD,20170131 14:00:00 EST,,0.0,108075.804,1769600.0,108075.804,2.2205,108350.0,108350.0,-4.441
62,Paper,Paper,4.438,USD,IDEALPRO,62.0,,,1.0,2.219,100000.0,0.0,145.562,BOT,5m_,USD,20170131 14:05:00 EST,,150.0,108221.366,1991500.0,108221.366,2.2205,108500.0,108500.0,145.562
63,Paper,Paper,4.435,USD,IDEALPRO,63.0,,,1.0,2.2175,100000.0,-100000.0,-4.435,SLD,5m_,USD,20170131 14:10:00 EST,,0.0,108216.931,1769750.0,108216.931,2.2175,108500.0,108500.0,-4.435
64,Paper,Paper,4.433,USD,IDEALPRO,64.0,,,1.0,2.2165,100000.0,0.0,95.567,BOT,5m_,USD,20170131 14:15:00 EST,,100.0,108312.498,1991400.0,108312.498,2.2175,108600.0,108600.0,95.567
65,Paper,Paper,4.432,USD,IDEALPRO,65.0,,,1.0,2.216,100000.0,-100000.0,-4.432,SLD,5m_,USD,20170131 14:20:00 EST,,0.0,108308.066,1769800.0,108308.066,2.216,108600.0,108600.0,-4.432
66,Paper,Paper,4.43,USD,IDEALPRO,66.0,,,1.0,2.215,100000.0,0.0,95.57,BOT,5m_,USD,20170131 14:25:00 EST,,100.0,108403.636,1991300.0,108403.636,2.216,108700.0,108700.0,95.57
67,Paper,Paper,4.427,USD,IDEALPRO,67.0,,,1.0,2.2135,100000.0,-100000.0,-4.427,SLD,5m_,USD,20170131 14:30:00 EST,,0.0,108399.209,1769950.0,108399.209,2.2135,108700.0,108700.0,-4.427
68,Paper,Paper,4.425,USD,IDEALPRO,68.0,,,1.0,2.2125,100000.0,0.0,95.575,BOT,5m_,USD,20170131 14:35:00 EST,,100.0,108494.784,1991200.0,108494.784,2.2135,108800.0,108800.0,95.575
69,Paper,Paper,4.431,USD,IDEALPRO,69.0,,,1.0,2.2155,100000.0,-100000.0,-4.431,SLD,5m_,USD,20170131 14:40:00 EST,,0.0,108490.353,1769650.0,108490.353,2.2155,108800.0,108800.0,-4.431
70,Paper,Paper,4.424,USD,IDEALPRO,70.0,,,1.0,2.212,100000.0,0.0,345.576,BOT,5m_,USD,20170131 14:45:00 EST,,350.0,108835.929,1990850.0,108835.929,2.2155,109150.0,109150.0,345.576
