Date,accountid,balance,purebalance,buy_power,unr_pnl,real_pnl,PurePL,currency,mark_to_mkt,pure_mark_to_mkt,pure_unr_pnl
20170131 16:55:00 EST,paperUSD,109122.662,109450.0,1769300.0,0,9122.662,9450.0,USD,109122.662,109450.0,0
20170131 17:00:00 EST,paperUSD,110418.263,110750.0,1989250.0,0,10418.263,10750.0,USD,110418.263,110750.0,0
20170131 17:05:00 EST,paperUSD,110413.854,110750.0,1768800.0,0,10413.854,10750.0,USD,110413.854,110750.0,0
20170131 17:10:00 EST,paperUSD,110909.455,111250.0,1988750.0,0,10909.455,11250.0,USD,110909.455,111250.0,0
20170131 17:15:00 EST,paperUSD,110905.05,111250.0,1768500.0,0,10905.05,11250.0,USD,110905.05,111250.0,0
20170131 17:20:00 EST,paperUSD,110950.646,111300.0,1988700.0,0,10950.646,11300.0,USD,110950.646,111300.0,0
20170131 17:25:00 EST,paperUSD,110946.249,111300.0,1768850.0,0,10946.249,11300.0,USD,110946.249,111300.0,0
20170131 17:35:00 EST,paperUSD,111041.854,111400.0,1988600.0,0,11041.854,11400.0,USD,111041.854,111400.0,0
20170131 17:40:00 EST,paperUSD,111037.463,111400.0,1769050.0,0,11037.463,11400.0,USD,111037.463,111400.0,0
20170131 17:45:00 EST,paperUSD,111283.077,111650.0,1988350.0,0,11283.077,11650.0,USD,111283.077,111650.0,0
20170131 17:50:00 EST,paperUSD,111278.696,111650.0,1769300.0,0,11278.696,11650.0,USD,111278.696,111650.0,0
20170131 17:55:00 EST,paperUSD,111774.325,112150.0,1987850.0,0,11774.325,12150.0,USD,111774.325,112150.0,0
20170131 18:00:00 EST,paperUSD,111769.939,112150.0,1768550.0,0,11769.939,12150.0,USD,111769.939,112150.0,0
20170131 18:05:00 EST,paperUSD,112515.568,112900.0,1987100.0,0,12515.568,12900.0,USD,112515.568,112900.0,0
20170131 18:10:00 EST,paperUSD,112511.189,112900.0,1768150.0,0,12511.189,12900.0,USD,112511.189,112900.0,0
20170131 18:25:00 EST,paperUSD,112656.813,113050.0,1986950.0,0,12656.813,13050.0,USD,112656.813,113050.0,0
20170201 10:00:00 EST,paperUSD,112652.382,113050.0,1765400.0,0,12652.382,13050.0,USD,112652.382,113050.0,0
20170201 10:05:00 EST,paperUSD,113597.97,114000.0,1986000.0,0,13597.97,14000.0,USD,113597.97,114000.0,0
20170201 10:10:00 EST,paperUSD,113593.554,114000.0,1765200.0,0,13593.554,14000.0,USD,113593.554,114000.0,0
20170201 10:30:00 EST,paperUSD,114189.15,114600.0,1985400.0,0,14189.15,14600.0,USD,114189.15,114600.0,0
20170201 10:35:00 EST,paperUSD,114184.744,114600.0,1765100.0,0,14184.744,14600.0,USD,114184.744,114600.0,0
20170201 10:40:00 EST,paperUSD,114280.34,114700.0,1985300.0,0,14280.34,14700.0,USD,114280.34,114700.0,0
20170201 10:45:00 EST,paperUSD,114275.923,114700.0,1764450.0,0,14275.923,14700.0,USD,114275.923,114700.0,0
20170202 11:20:00 EST,paperUSD,114421.509,114850.0,1985150.0,0,14421.509,14850.0,USD,114421.509,114850.0,0
20170202 11:25:00 EST,paperUSD,114417.097,114850.0,1764550.0,0,14417.097,14850.0,USD,114417.097,114850.0,0
20170202 11:30:00 EST,paperUSD,114612.689,115050.0,1984950.0,0,14612.689,15050.0,USD,114612.689,115050.0,0
20170202 11:35:00 EST,paperUSD,114608.28,115050.0,1764500.0,0,14608.28,15050.0,USD,114608.28,115050.0,0
20170202 11:45:00 EST,paperUSD,114753.874,115200.0,1984800.0,0,14753.874,15200.0,USD,114753.874,115200.0,0
20170202 11:50:00 EST,paperUSD,114749.465,115200.0,1764350.0,0,14749.465,15200.0,USD,114749.465,115200.0,0
20170202 11:55:00 EST,paperUSD,115145.064,115600.0,1984400.0,0,15145.064,15600.0,USD,115145.064,115600.0,0
20170202 12:00:00 EST,paperUSD,115140.67,115600.0,1764700.0,0,15140.67,15600.0,USD,115140.67,115600.0,0
