trade_id,PL,closeVWAP_timestamp,closedWhen,closedWhenUnixTimeStamp,closing_price_VWAP,expir,instrument,long_or_short,markToMarket_time,openVWAP_timestamp,open_or_closed,openedWhen,opening_price_VWAP,ptValue,putcall,quant_closed,quant_opened,strike,symbol,symbol_description,PurePL,qty,currency,balance,commission,margin_available,mark_to_mkt,pure_mark_to_mkt,purebalance,pure_unr_pnl,unr_pnl
33.0,-3.9,20170131 14:25:00 EST,20170131 14:25:00 EST,20170131 14:25:00 EST,2.215,,5m_#Barclays,short,,20170131 14:20:00 EST,closed,20170131 14:20:00 EST,2.216,,,100.0,100.0,,5m_#Barclays,,0.1,100.0,USD,99876.7,4.0,1999991.3,99876.7,100008.7,100008.7,,
34.0,-3.9,20170131 14:35:00 EST,20170131 14:35:00 EST,20170131 14:35:00 EST,2.2125,,5m_#Barclays,short,,20170131 14:30:00 EST,closed,20170131 14:30:00 EST,2.2135,,,100.0,100.0,,5m_#Barclays,,0.1,100.0,USD,99872.8,4.0,1999991.2,99872.8,100008.8,100008.8,,
35.0,-3.65,20170131 14:45:00 EST,20170131 14:45:00 EST,20170131 14:45:00 EST,2.212,,5m_#Barclays,short,,20170131 14:40:00 EST,closed,20170131 14:40:00 EST,2.2155,,,100.0,100.0,,5m_#Barclays,,0.35,100.0,USD,99869.15,4.0,1999990.85,99869.15,100009.15,100009.15,,
36.0,-3.7,20170131 16:50:00 EST,20170131 16:50:00 EST,20170131 16:50:00 EST,2.209,,5m_#Barclays,short,,20170131 14:50:00 EST,closed,20170131 14:50:00 EST,2.212,,,100.0,100.0,,5m_#Barclays,,0.3,100.0,USD,99865.45,4.0,1999990.55,99865.45,100009.45,100009.45,,
37.0,-2.7,20170131 17:00:00 EST,20170131 17:00:00 EST,20170131 17:00:00 EST,2.1995,,5m_#Barclays,short,,20170131 16:55:00 EST,closed,20170131 16:55:00 EST,2.2125,,,100.0,100.0,,5m_#Barclays,,1.3,100.0,USD,99862.75,4.0,1999989.25,99862.75,100010.75,100010.75,,
38.0,-3.5,20170131 17:10:00 EST,20170131 17:10:00 EST,20170131 17:10:00 EST,2.1995,,5m_#Barclays,short,,20170131 17:05:00 EST,closed,20170131 17:05:00 EST,2.2045,,,100.0,100.0,,5m_#Barclays,,0.5,100.0,USD,99859.25,4.0,1999988.75,99859.25,100011.25,100011.25,,
39.0,-3.95,20170131 17:20:00 EST,20170131 17:20:00 EST,20170131 17:20:00 EST,2.202,,5m_#Barclays,short,,20170131 17:15:00 EST,closed,20170131 17:15:00 EST,2.2025,,,100.0,100.0,,5m_#Barclays,,0.05,100.0,USD,99855.3,4.0,1999988.7,99855.3,100011.3,100011.3,,
40.0,-3.9,20170131 17:35:00 EST,20170131 17:35:00 EST,20170131 17:35:00 EST,2.1975,,5m_#Barclays,short,,20170131 17:25:00 EST,closed,20170131 17:25:00 EST,2.1985,,,100.0,100.0,,5m_#Barclays,,0.1,100.0,USD,99851.4,4.0,1999988.6,99851.4,100011.4,100011.4,,
41.0,-3.75,20170131 17:45:00 EST,20170131 17:45:00 EST,20170131 17:45:00 EST,2.193,,5m_#Barclays,short,,20170131 17:40:00 EST,closed,20170131 17:40:00 EST,2.1955,,,100.0,100.0,,5m_#Barclays,,0.25,100.0,USD,99847.65,4.0,1999988.35,99847.65,100011.65,100011.65,,
42.0,-3.5,20170131 17:55:00 EST,20170131 17:55:00 EST,20170131 17:55:00 EST,2.1855,,5m_#Barclays,short,,20170131 17:50:00 EST,closed,20170131 17:50:00 EST,2.1905,,,100.0,100.0,,5m_#Barclays,,0.5,100.0,USD,99844.15,4.0,1999987.85,99844.15,100012.15,100012.15,,
43.0,-3.25,20170131 18:05:00 EST,20170131 18:05:00 EST,20170131 18:05:00 EST,2.1855,,5m_#Barclays,short,,20170131 18:00:00 EST,closed,20170131 18:00:00 EST,2.193,,,100.0,100.0,,5m_#Barclays,,0.75,100.0,USD,99840.9,4.0,1999987.1,99840.9,100012.9,100012.9,,
44.0,-3.85,20170131 18:25:00 EST,20170131 18:25:00 EST,20170131 18:25:00 EST,2.188,,5m_#Barclays,short,,20170131 18:10:00 EST,closed,20170131 18:10:00 EST,2.1895,,,100.0,100.0,,5m_#Barclays,,0.15,100.0,USD,99837.05,4.0,1999986.95,99837.05,100013.05,100013.05,,
45.0,-3.05,20170201 10:05:00 EST,20170201 10:05:00 EST,20170201 10:05:00 EST,2.206,,5m_#Barclays,short,,20170201 10:00:00 EST,closed,20170201 10:00:00 EST,2.2155,,,100.0,100.0,,5m_#Barclays,,0.95,100.0,USD,99834.0,4.0,1999986.0,99834.0,100014.0,100014.0,,
46.0,-3.4,20170201 10:30:00 EST,20170201 10:30:00 EST,20170201 10:30:00 EST,2.202,,5m_#Barclays,short,,20170201 10:10:00 EST,closed,20170201 10:10:00 EST,2.208,,,100.0,100.0,,5m_#Barclays,,0.6,100.0,USD,99830.6,4.0,1999985.4,99830.6,100014.6,100014.6,,
47.0,-3.9,20170201 10:40:00 EST,20170201 10:40:00 EST,20170201 10:40:00 EST,2.202,,5m_#Barclays,short,,20170201 10:35:00 EST,closed,20170201 10:35:00 EST,2.203,,,100.0,100.0,,5m_#Barclays,,0.1,100.0,USD,99826.7,4.0,1999985.3,99826.7,100014.7,100014.7,,
48.0,-3.85,20170202 11:20:00 EST,20170202 11:20:00 EST,20170202 11:20:00 EST,2.207,,5m_#Barclays,short,,20170201 10:45:00 EST,closed,20170201 10:45:00 EST,2.2085,,,100.0,100.0,,5m_#Barclays,,0.15,100.0,USD,99822.85,4.0,1999985.15,99822.85,100014.85,100014.85,,
49.0,-3.8,20170202 11:30:00 EST,20170202 11:30:00 EST,20170202 11:30:00 EST,2.204,,5m_#Barclays,short,,20170202 11:25:00 EST,closed,20170202 11:25:00 EST,2.206,,,100.0,100.0,,5m_#Barclays,,0.2,100.0,USD,99819.05,4.0,1999984.95,99819.05,100015.05,100015.05,,
50.0,-3.85,20170202 11:45:00 EST,20170202 11:45:00 EST,20170202 11:45:00 EST,2.203,,5m_#Barclays,short,,20170202 11:35:00 EST,closed,20170202 11:35:00 EST,2.2045,,,100.0,100.0,,5m_#Barclays,,0.15,100.0,USD,99815.2,4.0,1999984.8,99815.2,100015.2,100015.2,,
51.0,-3.6,20170202 11:55:00 EST,20170202 11:55:00 EST,20170202 11:55:00 EST,2.2005,,5m_#Barclays,short,,20170202 11:50:00 EST,closed,20170202 11:50:00 EST,2.2045,,,100.0,100.0,,5m_#Barclays,,0.4,100.0,USD,99811.6,4.0,1999984.4,99811.6,100015.6,100015.6,,
52.0,-2.0,,,,0.0,,5m_#Barclays,short,,20170202 12:00:00 EST,open,20170202 12:00:00 EST,2.197,,,0.0,100.0,,5m_#Barclays,,0.0,-100.0,USD,99809.6,2.0,1999764.7,99809.6,100015.6,100015.6,,
