permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,mark_to_mkt,openprice,pure_mark_to_mkt,purebalance,real_pnl
42,Paper,Paper,2.0,USD,IDEALPRO,42.0,,,1.0,2.2395,100.0,0.0,-1.95,BOT,5m_,USD,20170130 16:10:00 EST,,0.05,99922.45,1999993.55,99922.45,2.24,100006.45,100006.45,-1.95
43,Paper,Paper,2.0,USD,IDEALPRO,43.0,,,1.0,2.24,100.0,-100.0,-2.0,SLD,5m_,USD,20170130 16:15:00 EST,,0.0,99920.45,1999769.55,99920.45,2.24,100006.45,100006.45,-2.0
44,Paper,Paper,2.0,USD,IDEALPRO,44.0,,,1.0,2.2355,100.0,0.0,-1.55,BOT,5m_,USD,20170130 16:40:00 EST,,0.45,99918.9,1999993.1,99918.9,2.24,100006.9,100006.9,-1.55
45,Paper,Paper,2.0,USD,IDEALPRO,45.0,,,1.0,2.23,100.0,-100.0,-2.0,SLD,5m_,USD,20170130 16:45:00 EST,,0.0,99916.9,1999770.1,99916.9,2.23,100006.9,100006.9,-2.0
46,Paper,Paper,2.0,USD,IDEALPRO,46.0,,,1.0,2.2295,100.0,0.0,-1.95,BOT,5m_,USD,20170130 17:15:00 EST,,0.05,99914.95,1999993.05,99914.95,2.23,100006.95,100006.95,-1.95
47,Paper,Paper,2.0,USD,IDEALPRO,47.0,,,1.0,2.2275,100.0,-100.0,-2.0,SLD,5m_,USD,20170130 17:20:00 EST,,0.0,99912.95,1999770.3,99912.95,2.2275,100006.95,100006.95,-2.0
48,Paper,Paper,2.0,USD,IDEALPRO,48.0,,,1.0,2.227,100.0,0.0,-1.95,BOT,5m_,USD,20170130 17:30:00 EST,,0.05,99911.0,1999993.0,99911.0,2.2275,100007.0,100007.0,-1.95
49,Paper,Paper,2.0,USD,IDEALPRO,49.0,,,1.0,2.228,100.0,-100.0,-2.0,SLD,5m_,USD,20170130 17:35:00 EST,,0.0,99909.0,1999770.2,99909.0,2.228,100007.0,100007.0,-2.0
50,Paper,Paper,2.0,USD,IDEALPRO,50.0,,,1.0,2.227,100.0,0.0,-1.9,BOT,5m_,USD,20170130 17:40:00 EST,,0.1,99907.1,1999992.9,99907.1,2.228,100007.1,100007.1,-1.9
51,Paper,Paper,2.0,USD,IDEALPRO,51.0,,,1.0,2.226,100.0,-100.0,-2.0,SLD,5m_,USD,20170130 17:45:00 EST,,0.0,99905.1,1999770.3,99905.1,2.226,100007.1,100007.1,-2.0
