,20161109,20161110
RB close,2016-11-09 17:00,2016-11-10 17:00
RB trigger,2016-11-09 07:00,2016-11-10 07:00
NQ open,2016-11-08 18:00,2016-11-09 18:00
NQ close,2016-11-09 17:00,2016-11-10 17:00
NQ trigger,2016-11-09 07:00,2016-11-10 07:00
CAD open,2016-11-08 18:00,2016-11-09 18:00
CAD close,2016-11-09 17:00,2016-11-10 17:00
CAD trigger,2016-11-09 07:00,2016-11-10 07:00
PL open,2016-11-08 18:00,2016-11-09 18:00
PL close,2016-11-09 17:00,2016-11-10 17:00
PL trigger,2016-11-09 07:00,2016-11-10 07:00
ZL open,2016-11-08 20:00,2016-11-09 20:00
ZL close,2016-11-09 14:20,2016-11-10 14:20
ZL trigger,2016-11-09 04:20,2016-11-10 04:20
ZM open,2016-11-08 20:00,2016-11-09 20:00
ZM close,2016-11-09 14:20,2016-11-10 14:20
ZM trigger,2016-11-09 04:20,2016-11-10 04:20
AC open,2016-11-08 18:00,2016-11-09 18:00
AC close,2016-11-09 17:00,2016-11-10 17:00
AC trigger,2016-11-09 07:00,2016-11-10 07:00
ZO open,2016-11-08 20:00,2016-11-09 20:00
ZO close,2016-11-09 14:20,2016-11-10 14:20
ZO trigger,2016-11-09 04:20,2016-11-10 04:20
AUD open,2016-11-08 18:00,2016-11-09 18:00
AUD close,2016-11-09 17:00,2016-11-10 17:00
AUD trigger,2016-11-09 07:00,2016-11-10 07:00
CHF open,2016-11-08 18:00,2016-11-09 18:00
CHF close,2016-11-09 17:00,2016-11-10 17:00
CHF trigger,2016-11-09 07:00,2016-11-10 07:00
CL open,2016-11-08 18:00,2016-11-09 18:00
CL close,2016-11-09 17:00,2016-11-10 17:00
CL trigger,2016-11-09 07:00,2016-11-10 07:00
ZF open,2016-11-08 18:00,2016-11-09 18:00
ZF close,2016-11-09 17:00,2016-11-10 17:00
ZF trigger,2016-11-09 07:00,2016-11-10 07:00
ZB open,2016-11-08 18:00,2016-11-09 18:00
ZB close,2016-11-09 17:00,2016-11-10 17:00
ZB trigger,2016-11-09 07:00,2016-11-10 07:00
ZC open,2016-11-08 20:00,2016-11-09 20:00
ZC close,2016-11-09 14:20,2016-11-10 14:20
ZC trigger,2016-11-09 04:20,2016-11-10 04:20
GF open,2016-11-08 09:30,2016-11-09 09:30
GF close,2016-11-09 14:05,2016-11-10 14:05
GF trigger,2016-11-09 04:05,2016-11-10 04:05
GE open,2016-11-08 18:00,2016-11-09 18:00
GE close,2016-11-09 17:00,2016-11-10 17:00
GE trigger,2016-11-09 07:00,2016-11-10 07:00
GC open,2016-11-08 18:00,2016-11-09 18:00
GC close,2016-11-09 17:00,2016-11-10 17:00
GC trigger,2016-11-09 07:00,2016-11-10 07:00
NZD open,2016-11-08 18:00,2016-11-09 18:00
NZD close,2016-11-09 17:00,2016-11-10 17:00
NZD trigger,2016-11-09 07:00,2016-11-10 07:00
ZT open,2016-11-08 18:00,2016-11-09 18:00
ZT close,2016-11-09 17:00,2016-11-10 17:00
ZT trigger,2016-11-09 07:00,2016-11-10 07:00
ZW open,2016-11-08 20:00,2016-11-09 20:00
ZW close,2016-11-09 14:20,2016-11-10 14:20
ZW trigger,2016-11-09 04:20,2016-11-10 04:20
ES open,2016-11-08 18:00,2016-11-09 18:00
ES close,2016-11-09 17:00,2016-11-10 17:00
ES trigger,2016-11-09 07:00,2016-11-10 07:00
EUR open,2016-11-08 18:00,2016-11-09 18:00
EUR close,2016-11-09 17:00,2016-11-10 17:00
EUR trigger,2016-11-09 07:00,2016-11-10 07:00
MXP open,2016-11-08 18:00,2016-11-09 18:00
MXP close,2016-11-09 17:00,2016-11-10 17:00
MXP trigger,2016-11-09 07:00,2016-11-10 07:00
JPY open,2016-11-08 18:00,2016-11-09 18:00
JPY close,2016-11-09 17:00,2016-11-10 17:00
JPY trigger,2016-11-09 07:00,2016-11-10 07:00
SI open,2016-11-08 18:00,2016-11-09 18:00
SI close,2016-11-09 17:00,2016-11-10 17:00
SI trigger,2016-11-09 07:00,2016-11-10 07:00
NIY open,2016-11-08 18:00,2016-11-09 18:00
NIY close,2016-11-09 17:00,2016-11-10 17:00
NIY trigger,2016-11-09 07:00,2016-11-10 07:00
